sample,band_window,raman_shift_cm_inverse,raw_intensity,fitted_background,corrected_intensity,fitted_G_height,normalized_corrected_intensity
dark-1,dg,1446.685,145.3953,66.461698750816,78.933601249184,334.144647584141,0.23622584356766543
dark-1,dg,1448.614,159.6507,66.38624976313662,93.26445023686338,334.144647584141,0.2791140032053886
dark-1,dg,1450.542,157.3615,66.31083988846278,91.05066011153723,334.144647584141,0.2724887582962398
dark-1,dg,1452.471,157.0605,66.2353909007834,90.82510909921659,334.144647584141,0.2718137481952211
dark-1,dg,1454.399,159.2284,66.15998102610956,93.06841897389043,334.144647584141,0.278527337327631
dark-1,dg,1456.328,144.1605,66.08453203843018,78.07596796156983,334.144647584141,0.23365919079074732
dark-1,dg,1458.256,145.0456,66.00912216375633,79.03647783624368,334.144647584141,0.23653372396558137
dark-1,dg,1460.184,151.4949,65.93371228908251,85.5611877109175,334.144647584141,0.2560603269557754
dark-1,dg,1462.113,147.5414,65.85826330140311,81.6831366985969,334.144647584141,0.24445442202700032
dark-1,dg,1464.041,146.1101,65.78285342672929,80.3272465732707,334.144647584141,0.24039662808916754
dark-1,dg,1465.97,153.0021,65.70740443904991,87.2946955609501,334.144647584141,0.2612482234627697
dark-1,dg,1467.898,161.6562,65.63199456437607,96.02420543562394,334.144647584141,0.2873731664710986
dark-1,dg,1469.827,144.9184,65.55654557669669,79.3618544233033,334.144647584141,0.23750748365143026
dark-1,dg,1471.755,142.8581,65.48113570202284,77.37696429797717,334.144647584141,0.23156727141197994
dark-1,dg,1473.684,142.6777,65.40568671434347,77.27201328565651,334.144647584141,0.23125318284860044
dark-1,dg,1475.612,151.1975,65.33027683966962,85.86722316033037,334.144647584141,0.25697620411144884
dark-1,dg,1477.541,150.6789,65.25482785199026,85.42407214800974,334.144647584141,0.25564997903041103
dark-1,dg,1479.469,145.9893,65.1794179773164,80.80988202268358,334.144647584141,0.2418410188729264
dark-1,dg,1481.398,145.3283,65.10396898963704,80.22433101036297,334.144647584141,0.2400886310476114
dark-1,dg,1483.326,147.3501,65.02855911496319,82.32154088503681,334.144647584141,0.2463649843869111
dark-1,dg,1485.255,151.9246,64.95311012728381,86.97148987271619,334.144647584141,0.2602809606603556
dark-1,dg,1487.183,159.6343,64.87770025260997,94.75659974739003,334.144647584141,0.28357958277194717
dark-1,dg,1489.111,160.6093,64.80229037793613,95.80700962206386,334.144647584141,0.28672316110626517
dark-1,dg,1491.04,151.0354,64.72684139025675,86.30855860974326,334.144647584141,0.25829699572850373
dark-1,dg,1492.968,161.322,64.65143151558291,96.67056848441709,334.144647584141,0.2893075474449264
dark-1,dg,1494.897,155.7325,64.57598252790353,91.15651747209645,334.144647584141,0.2728055593024046
dark-1,dg,1496.825,148.2792,64.5005726532297,83.7786273467703,334.144647584141,0.25072563020981503
dark-1,dg,1498.754,166.1869,64.42512366555032,101.76177633444969,334.144647584141,0.30454408613211453
dark-1,dg,1500.682,151.289,64.34971379087648,86.93928620912351,334.144647584141,0.260184584244257
dark-1,dg,1502.611,160.6892,64.2742648031971,96.4149351968029,334.144647584141,0.28854250964030376
dark-1,dg,1504.539,169.8968,64.19885492852326,105.69794507147675,334.144647584141,0.3163239208997383
dark-1,dg,1506.468,170.4232,64.12340594084388,106.29979405915613,334.144647584141,0.31812508393506067
dark-1,dg,1508.396,174.9,64.04799606617004,110.85200393382996,334.144647584141,0.3317485548108811
dark-1,dg,1510.325,181.1918,63.972547078490656,117.21925292150934,334.144647584141,0.3508039221008092
dark-1,dg,1512.253,179.1942,63.897137203816825,115.29706279618317,334.144647584141,0.34505135314834035
dark-1,dg,1514.182,175.9973,63.82168821613744,112.17561178386256,334.144647584141,0.335709737070128
dark-1,dg,1516.11,184.1126,63.74627834146361,120.36632165853638,334.144647584141,0.36022220475109334
dark-1,dg,1518.038,191.2738,63.67086846678976,127.60293153321024,334.144647584141,0.3818793221910835
dark-1,dg,1519.967,185.017,63.595419479110376,121.42158052088962,334.144647584141,0.3633802947279424
dark-1,dg,1521.895,195.3533,63.520009604436545,131.83329039556344,334.144647584141,0.394539584424636
dark-1,dg,1523.824,196.1062,63.44456061675716,132.66163938324286,334.144647584141,0.39701859761149494
dark-1,dg,1525.752,204.0613,63.36915074208333,140.69214925791667,334.144647584141,0.4210516322051484
dark-1,dg,1527.681,214.3819,63.29370175440395,151.08819824559606,334.144647584141,0.4521640533163127
dark-1,dg,1529.609,207.2686,63.21829187973011,144.05030812026988,334.144647584141,0.43110164763000297
dark-1,dg,1531.538,202.3296,63.14284289205073,139.18675710794926,334.144647584141,0.41654642118096663
dark-1,dg,1533.466,216.1065,63.06743301737689,153.03906698262313,334.144647584141,0.45800244920603234
dark-1,dg,1535.395,236.8183,62.99198402969751,173.8263159703025,334.144647584141,0.5202127797858299
dark-1,dg,1537.323,248.5094,62.91657415502367,185.59282584497635,334.144647584141,0.5554266009849588
dark-1,dg,1539.252,253.5161,62.841125167344295,190.6749748326557,334.144647584141,0.5706360290707388
dark-1,dg,1541.18,263.4504,62.76571529267045,200.68468470732955,334.144647584141,0.6005922469753017
dark-1,dg,1543.109,271.9597,62.69026630499108,209.26943369500893,334.144647584141,0.626283961775305
dark-1,dg,1545.037,280.0201,62.61485643031723,217.4052435696828,334.144647584141,0.6506321293533153
dark-1,dg,1546.965,301.0844,62.539446555643394,238.54495344435662,334.144647584141,0.7138972752340395
dark-1,dg,1548.894,312.4672,62.463997567964014,250.00320243203598,334.144647584141,0.748188559175058
dark-1,dg,1550.822,299.7666,62.38858769329018,237.37801230670982,334.144647584141,0.7104049519360792
dark-1,dg,1552.751,306.2472,62.3131387056108,243.9340612943892,334.144647584141,0.7300253439880827
dark-1,dg,1554.679,328.9806,62.23772883093695,266.74287116906305,334.144647584141,0.7982856319788707
dark-1,dg,1556.608,334.5783,62.16227984325758,272.41602015674243,334.144647584141,0.8152637551620374
dark-1,dg,1558.536,341.1553,62.086869968583734,279.06843003141626,334.144647584141,0.8351725279727666
dark-1,dg,1560.465,358.4943,62.01142098090436,296.48287901909566,334.144647584141,0.887289026362268
dark-1,dg,1562.393,372.804,61.93601110623052,310.86798889376945,334.144647584141,0.9303395734192921
dark-1,dg,1564.322,380.8635,61.860562118551144,319.0029378814488,334.144647584141,0.9546851646071052
dark-1,dg,1566.25,381.3427,61.7851522438773,319.5575477561227,334.144647584141,0.9563449543977952
dark-1,dg,1568.179,394.4794,61.70970325619792,332.76969674380206,334.144647584141,0.9958851627572675
